1,7385562
2,12655522
3,15828784
4,17107756
5,18477356
6,19977365
7,21104933
8,22158051
9,23202456
10,24230320
11,25413541
12,26874395
13,28321176
14,29900425
15,31891456
16,34589737
17,36591940
18,38477022
19,40457396
20,42798315
50,48964580
100,49707078
150,52772960
200,55047605
250,58788722
300,62729552
350,65730563
400,69656853
450,74110907
500,78340506
550,83219602
600,88778795
650,95030144
700,102476756
750,113001243
800,123341918
850,136418324
900,151725482
950,168553775
1000,188095206
1050,210215510
1100,235668698
1150,262536185
1200,291130926
1250,320628289
1300,351235982
1350,382621207
1400,416118431
1450,450042949
1500,485497043
1550,523270380
1600,562266037
1650,602688824
1700,646376842
1750,690485303
