50,408684
100,467907
150,312572
200,344552
250,133553
300,165958
350,217952
400,242145
450,270149
500,310052
550,339965
600,431874
650,417862
700,424260
750,486495
800,564260
850,736782
900,843780
950,1004215
1000,1312007
1050,1265156
1100,1755844
1150,1574571
1200,1799005
1250,1816261
1300,1970666
1350,2088607
1400,2004797
1450,2136668
1500,2201009
1550,2243091
1600,2708793
1650,2651196
1700,2787167
1750,2532645
1800,2874629
1850,2693341
1900,2930257
1950,2945208
2000,3256810
2050,3123076
2100,3927977
2150,3175374
2200,3639388
2250,3086086
2300,3847278
2350,3687020
2400,3926263
2450,3849147
2500,3994447
2550,3718959
2600,3774994
2650,4325512
2700,4525322
2750,4368680
2800,4105026
2850,5085743
2900,4687888
2950,4929529
3000,4469525
