50,2810546
100,304425
150,275769
200,361758
250,131528
300,171662
350,216274
400,249448
450,285468
500,289635
550,326358
600,395733
650,445255
700,514269
750,657088
800,778646
850,931168
900,1164359
950,1173713
1000,1337119
1050,1638675
1100,1708950
1150,1841834
1200,2208987
1250,2080391
1300,2058049
1350,2424002
1400,2231331
1450,2411019
1500,2406641
1550,2785608
1600,2587050
1650,3061995
1700,2977540
1750,2830637
1800,3195032
1850,2898810
1900,3333625
1950,3320098
2000,3759532
2050,3905293
2100,3913983
2150,3818341
2200,4099137
2250,4172324
2300,3871337
2350,4200187
2400,4037141
2450,4424363
2500,4518829
2550,4470157
2600,4506801
2650,4719263
2700,4873964
2750,4748802
2800,4776084
2850,5532084
2900,5640454
2950,5802756
3000,5383026
3050,5831596
3100,5894701
3150,7036349
3200,6030533
3250,6320074
3300,6796416
3350,7329196
3400,7055985
3450,6362741
3500,6778769
3550,6587000
3600,7261207
3650,6982902
3700,7361209
3750,7294488
3800,7245047
3850,7679923
3900,7392595
3950,7303688
4000,7297634
4050,7890121
4100,8921527
4150,8893366
4200,7525374
4250,7422704
4300,8362125
4350,8300133
4400,8639111
4450,9017514
4500,8876041
4550,9582803
4600,9512570
4650,10481016
4700,9790391
4750,10055795
4800,10966533
4850,9082369
4900,9639797
4950,10465038
5000,9897102
5050,11021442
5100,10339619
5150,10634921
5200,10101923
5250,8693072
5300,10420810
5350,10753825
5400,12310584
5450,11605337
5500,12683868
5550,11685691
5600,10613708
5650,11655670
5700,11985083
5750,11273740
5800,12807854
5850,12616729
5900,11949697
